1.119076439, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,Brecel v Joyce, Favorite: ,Mark Joyce, 2278868   size:3.06,Price: ,1.02,ok
1.119076437, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,Lawler v Burns, Favorite: ,Ian Burns, 5760960   size:3.06,Price: ,1.02,okok
1.119048995, Sport: ,Baseball, Time: ,Fri Jun 05 02:10:00 CEST 2015, Time: ,Fri Jun 05 02:10:00 CEST 2015, Event: ,CLE @ KC, Favorite: ,Kansas City (C Young), 9448847   size:109.04,Price: ,1.92,Cleveland (T Bauer), 7184184   size:114.66,Price: ,2.04,xx
1.119076436, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,J Robertson v Lisowski, Favorite: ,Jack Lisowski, 5119439   size:3.06,Price: ,1.02,okok
1.119076116, Sport: ,Tennis, Time: ,Fri Jun 05 14:00:00 CEST 2015, Time: ,Fri Jun 05 14:00:00 CEST 2015, Event: ,Starace v Ma Gonzalez, Favorite: ,Potito Starace, 2263615   size:61.78,Price: ,1.72,Maximo Gonzalez, 2489416   size:53.51,Price: ,1.83,xx
1.119074211, Sport: ,Tennis, Time: ,Fri Jun 05 07:00:00 CEST 2015, Time: ,Fri Jun 05 07:00:00 CEST 2015, Event: ,Cheong- Kim v C O'Connell, Favorite: ,Christopher O'Connell, 8942164   size:9.45,Price: ,1.69,Cheong-Eui Kim, 8505207   size:22.14,Price: ,2.28,xx
1.119076432, Sport: ,Tennis, Time: ,Fri Jun 05 15:00:00 CEST 2015, Time: ,Fri Jun 05 15:00:00 CEST 2015, Event: ,Mestach v Hlavackova, Favorite: ,Andrea Hlavackova, 2405315   size:2.55,Price: ,1.22,An-Sophie Mestach, 4818332   size:2.55,Price: ,1.42,okok
1.119075629, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Ramos-Vinolas v Cervantes, Favorite: ,Albert Ramos-Vinolas, 8621877   size:2.55,Price: ,1.51,Inigo Cervantes, 6297238   size:25.8,Price: ,2.54,okok
1.119074857, Sport: ,Tennis, Time: ,Fri Jun 05 13:45:00 CEST 2015, Time: ,Fri Jun 05 13:45:00 CEST 2015, Event: ,Giustino v Rola, Favorite: ,Blaz Rola, 8174357   size:2.55,Price: ,1.32,Lorenzo Giustino, 7534093   size:5.33,Price: ,3.5,okok
1.119047794, Sport: ,Basketball, Time: ,Fri Jun 05 19:45:00 CEST 2015, Time: ,Fri Jun 05 19:45:00 CEST 2015, Event: ,France (W) v Canada (W), Favorite: ,Canada (W), 5859168   size:5.0,Price: ,1.03,x
1.119048954, Sport: ,Baseball, Time: ,Thu Jun 04 22:05:00 CEST 2015, Time: ,Thu Jun 04 22:05:00 CEST 2015, Event: ,MIN @ BOS, Favorite: ,Boston (S Wright), 7555699   size:17.95,Price: ,1.66,Minnesota (T Milone), 8767527   size:451.22,Price: ,2.44,x
