1.121970120, Sport: ,American Football, Time: ,Sat Nov 28 18:00:00 CET 2015, Time: ,Sat Nov 28 18:00:00 CET 2015, Event: ,SMU @ Memphis, Favorite: ,Memphis, 975027   size:11.84,Price: ,1.07,SMU, 4242049   size:72.95,Price: ,9.2,ok
1.122031612, Sport: ,Soccer, Time: ,Sat Nov 28 23:00:00 CET 2015, Time: ,Sat Nov 28 23:00:00 CET 2015, Event: ,Municipal La Pintana v Club Malleco Unido, Favorite: ,Municipal La Pintana, 5663030   size:101.9,Price: ,1.66,Club Malleco Unido, 7851964   size:49.06,Price: ,3.45,The Draw, 58805   size:49.06,Price: ,3.45,x
1.122025454, Sport: ,Basketball, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Nara v Oita, Favorite: ,Nara, 7759193   size:2.83,Price: ,1.03,Oita, 6736967   size:2.83,Price: ,1.03,x
1.122017361, Sport: ,Volleyball, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,Textil Santanderina v Rio Duero, Favorite: ,Rio Duero, 10256878   size:2.55,Price: ,1.25,Textil Santanderina, 10256875   size:18.0,Price: ,1.64,ok
1.121967355, Sport: ,Handball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,Eisenach v Gummersbach, Favorite: ,Eisenach, 5833106   size:3.62,Price: ,1.12,Gummersbach, 2201945   size:2.73,Price: ,1.33,Draw, 330157   size:7.8,Price: ,10.5,x
1.121914707, Sport: ,Handball, Time: ,Sat Nov 28 18:00:00 CET 2015, Time: ,Sat Nov 28 18:00:00 CET 2015, Event: ,Motor Zaporozhye v Schaffhausen, Favorite: ,Motor Zaporozhye, 3228706   size:822.75,Price: ,1.04,Schaffhausen, 4996261   size:24.13,Price: ,1.51,Draw, 330157   size:24.13,Price: ,1.51,ok
1.121896114, Sport: ,Soccer, Time: ,Sat Nov 28 19:45:00 CET 2015, Time: ,Sat Nov 28 19:45:00 CET 2015, Event: ,Excelsior v Feyenoord, Favorite: ,Feyenoord, 55264   size:186.87,Price: ,1.53,Excelsior, 67164   size:59.45,Price: ,7.2,The Draw, 58805   size:64.84,Price: ,4.7,ok
1.121989045, Sport: ,Basketball, Time: ,Sun Nov 29 04:05:00 CET 2015, Time: ,Sun Nov 29 04:05:00 CET 2015, Event: ,LA Lakers @ Portland, Favorite: ,Portland, 13129   size:15.1,Price: ,1.28,LA Lakers, 2120881   size:11.63,Price: ,4.5,ok
1.121914703, Sport: ,Handball, Time: ,Sat Nov 28 18:00:00 CET 2015, Time: ,Sat Nov 28 18:00:00 CET 2015, Event: ,La Rioja v Meshkov Brest, Favorite: ,Meshkov Brest, 8838614   size:18.0,Price: ,1.11,La Rioja, 4995928   size:4.39,Price: ,1.74,Draw, 330157   size:18.0,Price: ,1.18,ok
1.122061872, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,UM Escobedo v CD Cayon, Favorite: ,UM Escobedo, 8535260   size:12.57,Price: ,1.03,CD Cayon, 7331872   size:12.57,Price: ,1.03,The Draw, 58805   size:2.83,Price: ,1.25,x
1.122018804, Sport: ,Basketball, Time: ,Sat Nov 28 17:00:00 CET 2015, Time: ,Sat Nov 28 17:00:00 CET 2015, Event: ,Spartak Pleven v Yambol, Favorite: ,Spartak Pleven, 7753535   size:2.55,Price: ,1.15,Yambol, 7753534   size:6.0,Price: ,6.6,ok
