1.121562568, Sport: ,Soccer, Time: ,Sat Oct 31 12:00:00 CET 2015, Time: ,Sat Oct 31 12:00:00 CET 2015, Event: ,Spartak Moscow (Y) v FK Ural (Y), Favorite: ,Spartak Moscow (Y), 7227096   size,ok
1.121529060, Sport: ,Basketball, Time: ,Sat Oct 31 11:00:00 CET 2015, Time: ,Sat Oct 31 11:00:00 CET 2015, Event: ,Shimane v Okinawa, Favorite: ,Okinawa, 6718537   size:3.82,Price: ,1.31,Shimane, 6737022   size:2.92,Price: ,3.25,ok
1.121560662, Sport: ,Soccer, Time: ,Sat Oct 31 13:00:00 CET 2015, Time: ,Sat Oct 31 13:00:00 CET 2015, Event: ,Gryf Wejherowo v Rakow Czestochowa, Favorite: ,Rakow Czestochowa, 5876552   size:8.18,Price: ,1.84,Gryf Wejherowo, 5822816   size:12.13,Price: ,3.6,The Draw, 58805   size:22.39,Price: ,3.2,ok
1.121415298, Sport: ,Soccer, Time: ,Sat Oct 31 15:00:00 CET 2015, Time: ,Sat Oct 31 15:00:00 CET 2015, Event: ,Cesena v Lanciano, Favorite: ,Cesena, 501219   size:28.83,Price: ,1.75,Lanciano, 201325   size:15.83,Price: ,6.0,The Draw, 58805   size:4.05,Price: ,3.6,ok
1.121556729, Sport: ,Handball, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,Morrazo v Go Fit, Favorite: ,Morrazo, 7602610   size:4.71,Price: ,1.35,Go Fit, 10194536   size:26.99,Price: ,4.7,Draw, 330157   size:8.4,Price: ,10.0,ok
1.121529062, Sport: ,Basketball, Time: ,Sat Oct 31 11:00:00 CET 2015, Time: ,Sat Oct 31 11:00:00 CET 2015, Event: ,Takamatsu v Nara, Favorite: ,Takamatsu, 6737021   size:9.69,Price: ,1.03,Nara, 7759193   size:5.9,Price: ,1.31,x
1.121560386, Sport: ,Soccer, Time: ,Sat Oct 31 19:00:00 CET 2015, Time: ,Sat Oct 31 19:00:00 CET 2015, Event: ,Santos (Bra) U20 v Palmeiras U20, Favorite: ,Santos (Bra) U20, 6714730   size:4.15,Price: ,1.07,Palmeiras U20, 5181619   size:4.15,Price: ,1.07,The Draw, 58805   size:5.6,Price: ,2.88,ok
1.121493108, Sport: ,Soccer, Time: ,Sat Oct 31 14:00:00 CET 2015, Time: ,Sat Oct 31 14:00:00 CET 2015, Event: ,Dolcan Zabki v Zaglebie Sosnowiec, Favorite: ,Dolcan Zabki, 4135276   size:72.65,Price: ,2.16,Zaglebie Sosnowiec, 2486936   size:22.76,Price: ,3.7,The Draw, 58805   size:28.07,Price: ,3.35,ok
1.121421978, Sport: ,Volleyball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Olympiakos v AO Orestiadas, Favorite: ,Olympiakos, 1107070   size:33.26,Price: ,1.01,Ao Orestiadas, 10395510   size:18.0,Price: ,1.25,ok
1.121603515, Sport: ,Tennis, Time: ,Sat Oct 31 13:30:00 CET 2015, Time: ,Sat Oct 31 13:30:00 CET 2015, Event: ,Delbonis v R Ram, Favorite: ,Federico Delbonis, 6181532   size:34.69,Price: ,1.75,Rajeev Ram, 2488011   size:29.58,Price: ,1.97,x
1.121603514, Sport: ,Tennis, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Al Bedene v Barrere, Favorite: ,Aljaz Bedene, 5706996   size:7.63,Price: ,1.25,Gregoire Barrere, 8842295   size:38.26,Price: ,4.0,ok
