1.121949302, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Club Haro Deportivo v CCD Alberite, Favorite: ,Club Haro Deportivo, 7536128   size:6.49,Price: ,1.03,CCD Alberite, 10550276   size:6.49,Price: ,1.03,The Draw, 58805   size:6.49,Price: ,1.03,ok
1.121920540, Sport: ,Volleyball, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Yamamay Busto Arsizio v Casalmaggiore, Favorite: ,Casalmaggiore, 7906928   size:434.85,Price: ,1.33,Yamamay Busto Arsizio, 6143979   size:2.55,Price: ,3.45,ok
1.121920541, Sport: ,Volleyball, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,VB Sudtirol Bolzano v Club Italia, Favorite: ,VB Sudtirol Bolzano, 10381560   size:2.55,Price: ,1.16,Club Italia, 9020006   size:29.11,Price: ,5.9,x
1.121943444, Sport: ,Soccer, Time: ,Sun Nov 22 16:15:00 CET 2015, Time: ,Sun Nov 22 16:15:00 CET 2015, Event: ,Hibernians v Balzan, Favorite: ,Hibernians, 440559   size:1470.0,Price: ,1.34,Balzan, 7544076   size:2.67,Price: ,12.5,The Draw, 58805   size:26.25,Price: ,4.2,ok
1.121811540, Sport: ,Soccer, Time: ,Sun Nov 22 16:45:00 CET 2015, Time: ,Sun Nov 22 16:45:00 CET 2015, Event: ,ADO Den Haag v Vitesse, Favorite: ,Vitesse, 11186   size:43.46,Price: ,1.45,ADO Den Haag, 315069   size:18.7,Price: ,8.2,The Draw, 58805   size:9.38,Price: ,5.0,x
1.121952946, Sport: ,Tennis, Time: ,Sun Nov 22 16:34:00 CET 2015, Time: ,Sun Nov 22 16:34:00 CET 2015, Event: ,P Grigoriu v Galovic, Favorite: ,Patrick Grigoriu, 8576003   size:70.39,Price: ,1.04,Viktor Galovic, 7444791   size:19.47,Price: ,1.04,x
1.121807711, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Gimnastic v Llagostera, Favorite: ,Gimnastic, 912116   size:927.94,Price: ,1.77,Llagostera, 5759756   size:2.85,Price: ,5.5,The Draw, 58805   size:5.0,Price: ,3.8,ok
1.121937652, Sport: ,Basketball, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Bonn v Fraport Skyliners, Favorite: ,Bonn, 2293349   size:119.55,Price: ,1.66,Fraport Skyliners, 5956938   size:53.24,Price: ,2.32,x
1.121909425, Sport: ,Handball, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,Vive Tauron Kielce v Kolding Kobenhavn, Favorite: ,Vive Tauron Kielce, 8838618   size:10033.74,Price: ,1.03,Kolding Kobenhavn, 7670726   size:19.41,Price: ,16.5,Draw, 330157   size:15.84,Price: ,20.0,ok
1.121920215, Sport: ,Handball, Time: ,Sun Nov 22 16:30:00 CET 2015, Time: ,Sun Nov 22 16:30:00 CET 2015, Event: ,Drott v Guif, Favorite: ,Drott, 330162   size:2.85,Price: ,1.03,Guif, 370062   size:2.85,Price: ,1.03,Draw, 330157   size:2.85,Price: ,1.03,x
